appid,release_date
111600,2011-08-30
112100,2011-08-17
113020,2013-04-24
113200,2011-09-28
113400,2011-12-06
113420,2012-02-22
115100,2011-10-14
115110,2012-03-06
115120,2012-08-13
115200,2011-08-26
115210,2011-08-26
115220,2011-08-26
115320,2012-07-26
115800,2016-11-01
116100,2014-06-06
200010,2012-06-21
200020,2011-10-26
200080,2011-09-15
200130,2011-10-24
200150,2015-12-11
200170,2012-10-10
200190,2011-11-15
200210,2012-02-20
200230,2011-09-29
200260,2012-09-07
200370,2012-10-23
200390,2012-01-25
200410,2012-01-25
200490,2012-11-09
200510,2012-10-11
200550,2011-09-27
200670,2011-10-11
200710,2012-09-20
200900,2011-11-22
200960,2001-12-01
200980,2003-07-01
200990,2005-04-01
201000,2006-11-01
201010,2008-11-01
201070,2012-04-23
201210,2014-10-15
201230,2011-12-07
201290,2011-11-16
201420,2013-07-11
201480,2011-10-24
201490,2011-10-24
201510,2011-12-13
201570,2012-02-24
201790,2012-07-30
201810,2014-05-19
201870,2011-11-30
202130,2013-02-14
202200,2011-12-02
202310,2012-03-29
202370,2012-04-09
202410,2012-02-08
202670,2011-11-02
202690,2012-03-30
202710,2011-12-14
202730,2012-05-10
202750,2012-05-22
202860,2011-11-18
202970,2012-11-12
203140,2012-11-19
203160,2013-03-04
203210,2012-02-03
203290,2013-08-01
203350,2012-10-25
203510,2012-01-30
203560,2012-03-02
203630,2012-05-08
203650,2012-05-14
203680,2012-11-15
203750,2012-04-26
203770,2012-02-14
203830,2012-06-22
203990,2011-12-16
204030,2011-12-19
204060,2012-04-16
204100,2012-05-31
204120,2012-01-05
204180,2012-03-20
204220,2012-08-30
204240,2013-02-22
204300,2012-08-01
204340,2012-01-31
204360,2012-09-26
204390,2012-02-02
204440,2012-02-22
204530,2014-03-06
204560,2012-04-04
204580,2012-10-11
204630,2014-11-11
204760,2012-04-18
204860,2012-04-12
204880,2012-06-12
204940,2012-02-14
204960,2012-11-15
205020,2014-12-02
205060,2012-10-02
205070,2012-12-19
205080,2013-07-11
205090,2014-06-05
205100,2012-10-11
205190,2012-10-18
205230,2012-10-03
205270,2012-10-02
205530,2012-05-17
205550,2012-07-09
205610,2012-05-04
205650,2012-09-20
205690,2012-02-22
205710,2012-12-13
205730,2012-04-17
205810,2012-08-24
205830,2012-03-01
205840,2012-03-22
205870,2012-02-28
205910,2012-06-19
205950,2012-09-19
205990,2014-04-10
206020,2012-05-11
206040,2012-05-11
206060,2012-05-11
206190,2013-06-03
206210,2012-08-30
206230,2012-10-30
206250,2012-08-14
206370,2012-08-15
206410,2012-02-10
206420,2013-08-22
206440,2012-09-07
206480,2012-06-25
206500,2018-03-30
206610,2012-03-29
206690,2012-03-01
207000,2013-03-20
207020,2012-06-08
207080,2012-06-12
207140,2016-04-19
207170,2012-04-11
207190,2012-04-25
207230,2014-04-25
207250,2012-03-16
207320,2012-03-19
207350,2012-05-31
207370,2012-08-02
207380,2012-08-02
207400,2012-08-02
207420,2012-03-14
207430,2012-04-05
207490,2012-03-29
207530,2012-04-23
207570,2012-08-09
207650,2012-08-01
207670,2012-08-23
207690,2012-05-07
207710,2012-03-15
207730,2012-10-12
207750,2012-08-06
207790,2012-03-08
207930,2013-04-16
208110,2012-03-16
208140,2012-07-04
208200,2012-10-18
208400,2012-04-11
208460,2012-09-14
208500,2012-09-19
208520,2013-01-31
208580,2012-08-23
208600,2012-04-10
208620,2012-03-28
208630,2012-03-28
208640,2012-03-28
208650,2015-06-23
208670,2012-04-20
208710,2012-09-24
208730,2012-06-07
208750,2015-02-03
209000,2013-10-24
209060,2014-02-19
209080,2012-10-29
209100,2012-05-18
209120,2012-05-11
209160,2014-03-25
209190,2012-11-28
209230,2012-04-23
209330,2012-04-24
209360,2012-04-19
209370,2012-04-27
209390,2012-07-02
209520,2013-05-01
209540,2013-01-23
209610,2012-06-19
209630,2013-06-20
209650,2014-11-03
209670,2012-09-28
209690,2012-05-24
209730,2012-10-11
209750,2012-08-06
209790,2012-06-13
209830,2012-04-23
209850,2013-02-19
209950,2012-12-06
210170,2012-09-04
210230,2012-05-16
210770,2013-05-15
210870,2013-08-02
210950,2012-06-13
210970,2016-01-26
211010,2012-05-18
211160,2012-10-17
211180,2012-08-08
211260,2012-08-29
211280,2013-01-08
211340,2012-05-31
211360,2012-05-11
211400,2012-10-25
211440,2012-06-13
211500,2013-02-12
211580,2012-07-27
211600,2012-05-22
211740,2012-05-22
211780,2012-05-28
211800,2012-05-16
211820,2016-07-22
211900,2012-10-24
211970,2012-12-10
212010,2012-08-21
212030,2012-07-24
212050,2012-07-25
212070,2013-02-27
212110,2012-11-07
212160,2012-06-22
212390,2012-09-13
212500,2012-06-06
212630,2012-06-27
212680,2012-09-14
212700,2012-12-13
212780,2012-09-27
212800,2012-08-29
213030,2012-06-25
213330,2012-06-22
213350,2012-07-30
213390,2012-04-06
213610,2012-11-19
213650,2012-10-18
213670,2014-03-06
